# Cycle: 0, status: ACC, move: ('ld', 0, 0, 0)
#     Time       Orderp
         1     0.109225
         2     0.109143
         3     0.108469
# Cycle: 63, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 64, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 65, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 66, status: BTL, move: ('sh', 0.1092245393673053, 1, 0)
#     Time       Orderp
         0     0.109225
         1     0.108672
         2     0.109102
# Cycle: 67, status: ACC, move: ('s+', 0.10948515881159393, 2, 1)
#     Time       Orderp
         0     0.107900
         1     0.109485
         2     0.108717
         3     0.109085
         4     0.108159
# Cycle: 68, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108159
         1     0.109085
         2     0.108717
         3     0.109485
         4     0.107900
# Cycle: 69, status: FTL, move: ('sh', 0.10909170454255433, 1, 1)
#     Time       Orderp
         0     0.108470
         1     0.109092
         2     0.109234
         3     0.109980
         4     0.108786
         5     0.108642
         6     0.108914
         7     0.108674
# Cycle: 70, status: FTL, move: ('sh', 0.10909170454255433, 1, 1)
#     Time       Orderp
         0     0.108189
         1     0.109092
         2     0.109728
         3     0.109029
         4     0.108578
         5     0.108510
# Cycle: 71, status: BTL, move: ('sh', 0.10916501271011701, 2, 0)
#     Time       Orderp
         0     0.109165
         1     0.108779
         2     0.108694
         3     0.109088
# Cycle: 72, status: FTL, move: ('sh', 0.10948515881159393, 3, 1)
#     Time       Orderp
         0     0.108003
         1     0.109485
         2     0.108718
         3     0.108597
         4     0.109131
# Cycle: 73, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 74, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 75, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 76, status: BTL, move: ('sh', 0.10909170454255433, 1, 0)
#     Time       Orderp
         0     0.109092
         1     0.108645
         2     0.110653
         3     0.108624
         4     0.108326
# Cycle: 77, status: ACC, move: ('s+', 0.10936178491593838, 4, 1)
#     Time       Orderp
         0     0.108092
         1     0.109362
         2     0.108311
# Cycle: 78, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 79, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 80, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108311
         1     0.109362
         2     0.108092
# Cycle: 81, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108092
         1     0.109362
         2     0.108311
# Cycle: 82, status: FTL, move: ('sh', 0.10936178491593838, 1, 1)
#     Time       Orderp
         0     0.107938
         1     0.109362
         2     0.108587
         3     0.108645
         4     0.109593
         5     0.108937
# Cycle: 83, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 84, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108311
         1     0.109362
         2     0.108092
# Cycle: 85, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107734
         1     0.109096
         2     0.109007
         3     0.109485
         4     0.108450
# Cycle: 86, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108311
         1     0.109362
         2     0.108092
# Cycle: 87, status: FTL, move: ('sh', 0.10936178491593838, 1, 6)
#     Time       Orderp
         0     0.107958
         1     0.109153
         2     0.108728
         3     0.108699
         4     0.109725
         5     0.110295
         6     0.109362
         7     0.109182
         8     0.108669
# Cycle: 88, status: FTL, move: ('sh', 0.10936178491593838, 1, 1)
#     Time       Orderp
         0     0.108084
         1     0.109362
         2     0.110437
         3     0.109928
         4     0.108284
# Cycle: 89, status: ACC, move: ('s+', 0.10900917392586731, 1, 2)
#     Time       Orderp
         0     0.108488
         1     0.109607
         2     0.109009
         3     0.108581
         4     0.108061
# Cycle: 90, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108311
         1     0.109362
         2     0.108092
# Cycle: 91, status: ACC, move: ('s+', 0.10900917392586731, 1, 2)
#     Time       Orderp
         0     0.108488
         1     0.109607
         2     0.109009
         3     0.108581
         4     0.108061
# Cycle: 92, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108061
         1     0.108581
         2     0.109009
         3     0.109607
         4     0.108488
# Cycle: 93, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108488
         1     0.109607
         2     0.109009
         3     0.108581
         4     0.108061
# Cycle: 94, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108061
         1     0.108581
         2     0.109009
         3     0.109607
         4     0.108488
# Cycle: 95, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108488
         1     0.109607
         2     0.109009
         3     0.108581
         4     0.108061
# Cycle: 96, status: ACC, move: ('sh', 0.10900917392586731, 2, 2)
#     Time       Orderp
         0     0.108484
         1     0.109590
         2     0.109009
         3     0.108337
# Cycle: 97, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 98, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108337
         1     0.109009
         2     0.109590
         3     0.108484
# Cycle: 99, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108092
         1     0.109362
         2     0.108311
# Cycle: 100, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108337
         1     0.109009
         2     0.109590
         3     0.108484
# Cycle: 101, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 102, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 103, status: ACC, move: ('sh', 0.10931148155614762, 2, 2)
#     Time       Orderp
         0     0.107985
         1     0.108656
         2     0.109311
         3     0.108869
         4     0.108438
# Cycle: 104, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108092
         1     0.109362
         2     0.108311
# Cycle: 105, status: ACC, move: ('s+', 0.10931148155614762, 2, 2)
#     Time       Orderp
         0     0.107985
         1     0.108656
         2     0.109311
         3     0.108869
         4     0.108438
# Cycle: 106, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108438
         1     0.108869
         2     0.109311
         3     0.108656
         4     0.107985
# Cycle: 107, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108311
         1     0.109362
         2     0.108092
# Cycle: 108, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108092
         1     0.109362
         2     0.108311
# Cycle: 109, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 110, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107985
         1     0.108656
         2     0.109311
         3     0.108869
         4     0.108438
# Cycle: 111, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 112, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108092
         1     0.109362
         2     0.108311
# Cycle: 113, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107985
         1     0.108656
         2     0.109311
         3     0.108869
         4     0.108438
# Cycle: 114, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108092
         1     0.109362
         2     0.108311
# Cycle: 115, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108311
         1     0.109362
         2     0.108092
# Cycle: 116, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108438
         1     0.108869
         2     0.109311
         3     0.108656
         4     0.107985
# Cycle: 117, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108311
         1     0.109362
         2     0.108092
# Cycle: 118, status: FTL, move: ('sh', 0.10936178491593838, 1, 1)
#     Time       Orderp
         0     0.108431
         1     0.109362
         2     0.108810
         3     0.108671
# Cycle: 119, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108092
         1     0.109362
         2     0.108311
# Cycle: 120, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108311
         1     0.109362
         2     0.108092
# Cycle: 121, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108092
         1     0.109362
         2     0.108311
# Cycle: 122, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 123, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108311
         1     0.109362
         2     0.108092
# Cycle: 124, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 125, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 126, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108092
         1     0.109362
         2     0.108311
# Cycle: 127, status: BTL, move: ('sh', 0.10936178491593838, 1, 0)
#     Time       Orderp
         0     0.109362
         1     0.108284
# Cycle: 128, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 129, status: ACC, move: ('s+', 0.10973149046650185, 2, 2)
#     Time       Orderp
         0     0.108047
         1     0.108684
         2     0.109731
         3     0.108000
# Cycle: 130, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108092
         1     0.109362
         2     0.108311
# Cycle: 131, status: ACC, move: ('s+', 0.10973149046650185, 2, 2)
#     Time       Orderp
         0     0.108047
         1     0.108684
         2     0.109731
         3     0.108000
# Cycle: 132, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108000
         1     0.109731
         2     0.108684
         3     0.108047
# Cycle: 133, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 134, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108311
         1     0.109362
         2     0.108092
# Cycle: 135, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108092
         1     0.109362
         2     0.108311
# Cycle: 136, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108047
         1     0.108684
         2     0.109731
         3     0.108000
# Cycle: 137, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108000
         1     0.109731
         2     0.108684
         3     0.108047
# Cycle: 138, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 139, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108311
         1     0.109362
         2     0.108092
# Cycle: 140, status: BTL, move: ('sh', 0.10936178491593838, 1, 0)
#     Time       Orderp
         0     0.109362
         1     0.109110
         2     0.108155
# Cycle: 141, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108092
         1     0.109362
         2     0.108311
# Cycle: 142, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 143, status: BTL, move: ('sh', 0.10936178491593838, 1, 0)
#     Time       Orderp
         0     0.109362
         1     0.108680
# Cycle: 144, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 145, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 146, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108311
         1     0.109362
         2     0.108092
# Cycle: 147, status: BTL, move: ('sh', 0.10936178491593838, 1, 0)
#     Time       Orderp
         0     0.109362
         1     0.108709
# Cycle: 148, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 149, status: ACC, move: ('s+', 0.10942577392917992, 6, 1)
#     Time       Orderp
         0     0.108472
         1     0.109426
         2     0.108766
         3     0.109218
         4     0.108446
# Cycle: 150, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108446
         1     0.109218
         2     0.108766
         3     0.109426
         4     0.108472
# Cycle: 151, status: ACC, move: ('sh', 0.10927030703718198, 2, 6)
#     Time       Orderp
         0     0.108150
         1     0.108501
         2     0.109576
         3     0.110445
         4     0.109051
         5     0.109259
         6     0.109270
         7     0.108558
         8     0.108719
         9     0.109178
        10     0.109098
        11     0.108228
# Cycle: 152, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 153, status: ACC, move: ('sh', 0.11039021695784472, 10, 4)
#     Time       Orderp
         0     0.108070
         1     0.110380
         2     0.109015
         3     0.108975
         4     0.108931
         5     0.109271
         6     0.108678
         7     0.108830
         8     0.109615
         9     0.108451
# Cycle: 154, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108372
         1     0.109231
         2     0.109731
         3     0.108204
# Cycle: 155, status: ACC, move: ('s+', 0.11039021695784472, 10, 4)
#     Time       Orderp
         0     0.108070
         1     0.110380
         2     0.109015
         3     0.108975
         4     0.108931
         5     0.109271
         6     0.108678
         7     0.108830
         8     0.109615
         9     0.108451
