# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time       Orderp
         5     0.110456
         6     0.110103
         7     0.107675
# Cycle: 54, status: KOB, move: ('sh', 0.10840664186294123, 3, 0)
#     Time       Orderp
         0     0.108407
# Cycle: 55, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108399
         1     0.109723
         2     0.111167
         3     0.109552
         4     0.107811
# Cycle: 56, status: NCR, move: ('sh', 0.10919706955774952, 1, 7)
#     Time       Orderp
         0     0.108055
         1     0.109065
         2     0.109426
         3     0.109760
         4     0.109164
         5     0.109040
         6     0.109137
         7     0.109197
         8     0.108412
# Cycle: 57, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.107675
         1     0.110103
         2     0.110456
         3     0.108879
         4     0.108641
         5     0.111310
         6     0.108511
         7     0.108317
# Cycle: 58, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108317
         1     0.108511
         2     0.111310
         3     0.108641
         4     0.108879
         5     0.110456
         6     0.110103
         7     0.107675
# Cycle: 59, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108399
         1     0.109723
         2     0.111167
         3     0.109552
         4     0.107811
# Cycle: 60, status: NCR, move: ('sh', 0.11057576588023274, 6, 2)
#     Time       Orderp
         0     0.108161
         1     0.108539
         2     0.110576
         3     0.109739
         4     0.108294
# Cycle: 61, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108399
         1     0.109723
         2     0.111167
         3     0.109552
         4     0.107811
# Cycle: 62, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.107675
         1     0.110103
         2     0.110456
         3     0.108879
         4     0.108641
         5     0.111310
         6     0.108511
         7     0.108317
# Cycle: 63, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107954
         1     0.108836
         2     0.108639
         3     0.111432
         4     0.108616
         5     0.111548
         6     0.108485
# Cycle: 64, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107954
         1     0.108836
         2     0.108639
         3     0.111432
         4     0.108616
         5     0.111548
         6     0.108485
# Cycle: 65, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107954
         1     0.108836
         2     0.108639
         3     0.111432
         4     0.108616
         5     0.111548
         6     0.108485
# Cycle: 66, status: NCR, move: ('sh', 0.11057576588023274, 1, 4)
#     Time       Orderp
         0     0.107986
         1     0.108596
         2     0.108597
         3     0.109767
         4     0.110576
         5     0.109505
         6     0.109307
         7     0.108740
         8     0.109170
         9     0.108125
# Cycle: 67, status: NCR, move: ('s-', 0.1111665417290648, 2, 4)
#     Time       Orderp
         0     0.108092
         1     0.108830
         2     0.108732
         3     0.109554
         4     0.111167
         5     0.109492
         6     0.107869
# Cycle: 68, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108317
         1     0.108511
         2     0.111310
         3     0.108641
         4     0.108879
         5     0.110456
         6     0.110103
         7     0.107675
# Cycle: 69, status: NCR, move: ('sh', 0.11069778678907723, 5, 1)
#     Time       Orderp
         0     0.108173
         1     0.110698
         2     0.108555
         3     0.108325
# Cycle: 70, status: KOB, move: ('sh', 0.10840664186294123, 3, 0)
#     Time       Orderp
         0     0.108407
# Cycle: 71, status: NCR, move: ('sh', 0.10919706955774952, 1, 3)
#     Time       Orderp
         0     0.108098
         1     0.109174
         2     0.109668
         3     0.109197
         4     0.109303
         5     0.109208
         6     0.108040
# Cycle: 72, status: ACC, move: ('sh', 0.11131037687475502, 2, 1)
#     Time       Orderp
         0     0.107924
         1     0.111310
         2     0.108154
# Cycle: 73, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108485
         1     0.111548
         2     0.108616
         3     0.111432
         4     0.108639
         5     0.108836
         6     0.107954
# Cycle: 74, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108485
         1     0.111548
         2     0.108616
         3     0.111432
         4     0.108639
         5     0.108836
         6     0.107954
# Cycle: 75, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108485
         1     0.111548
         2     0.108616
         3     0.111432
         4     0.108639
         5     0.108836
         6     0.107954
# Cycle: 76, status: BTL, move: ('sh', 0.11131037687475502, 1, 0)
#     Time       Orderp
         0     0.111310
         1     0.108202
# Cycle: 77, status: NCR, move: ('s-', 0.1111890282357032, 2, 1)
#     Time       Orderp
         0     0.108013
         1     0.111189
         2     0.107602
# Cycle: 78, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108485
         1     0.111548
         2     0.108616
         3     0.111432
         4     0.108639
         5     0.108836
         6     0.107954
# Cycle: 79, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108485
         1     0.111548
         2     0.108616
         3     0.111432
         4     0.108639
         5     0.108836
         6     0.107954
# Cycle: 80, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108154
         1     0.111310
         2     0.107924
# Cycle: 81, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.107924
         1     0.111310
         2     0.108154
# Cycle: 82, status: FTL, move: ('sh', 0.11131037687475502, 1, 3)
#     Time       Orderp
         0     0.108372
         1     0.108554
         2     0.108816
         3     0.111310
         4     0.109016
         5     0.109283
         6     0.108489
# Cycle: 83, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108485
         1     0.111548
         2     0.108616
         3     0.111432
         4     0.108639
         5     0.108836
         6     0.107954
# Cycle: 84, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108154
         1     0.111310
         2     0.107924
# Cycle: 85, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108067
         1     0.111215
         2     0.110219
         3     0.108754
         4     0.109330
         5     0.108646
         6     0.109172
         7     0.109252
         8     0.108256
# Cycle: 86, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108154
         1     0.111310
         2     0.107924
# Cycle: 87, status: BTL, move: ('sh', 0.11131037687475502, 1, 0)
#     Time       Orderp
         0     0.111310
         1     0.108646
         2     0.109902
# Cycle: 88, status: BTL, move: ('sh', 0.11131037687475502, 1, 0)
#     Time       Orderp
         0     0.111310
         1     0.109212
# Cycle: 89, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108067
         1     0.111215
         2     0.110219
         3     0.108754
         4     0.109330
         5     0.108646
         6     0.109172
         7     0.109252
         8     0.108256
# Cycle: 90, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
