# Cycle: 0, status: ACC, move: ('ld', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44083.675781   10165.201172
         1  -44102.660156    9803.888672
         2  -44095.152344   10032.191406
         3  -44245.691406   10039.279297
         4  -43820.160156    9921.916016
         5  -43936.652344   10121.115234
         6  -43871.980469   10490.960938
         7  -43450.640625   12783.872070
         8  -44104.222656   10236.699219
# Cycle: 47, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44517.953125    9970.498047
         1  -44057.562500   10061.246094
         2  -44200.082031   12967.941406
         3  -44650.851562   10216.808594
         4  -44208.433594   10180.187500
         5  -44336.492188   10100.438477
         6  -44072.667969    9987.519531
         7  -44141.589844   10393.690430
         8  -43886.019531   10105.201172
         9  -44068.796875    9886.556641
        10  -44337.503906   10165.543945
# Cycle: 48, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44083.675781   10165.201172
         1  -44102.660156    9803.888672
         2  -44095.152344   10032.191406
         3  -44245.691406   10039.279297
         4  -43820.160156    9921.916016
         5  -43936.652344   10121.115234
         6  -43871.980469   10490.960938
         7  -43450.640625   12783.872070
         8  -44104.222656   10236.699219
# Cycle: 49, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44517.953125    9970.498047
         1  -44057.562500   10061.246094
         2  -44200.082031   12967.941406
         3  -44650.851562   10216.808594
         4  -44208.433594   10180.187500
         5  -44336.492188   10100.438477
         6  -44072.667969    9987.519531
         7  -44141.589844   10393.690430
         8  -43886.019531   10105.201172
         9  -44068.796875    9886.556641
        10  -44337.503906   10165.543945
# Cycle: 50, status: ACC, move: ('sh', 0.10910545357588652, 8, 3)
#     Time      Potential        Kinetic
         0  -44167.058594    9963.277344
         1  -44240.378906   10183.425781
         2  -44172.812500    9927.889648
         3  -43703.734375   12943.931641
         4  -44381.101562   10163.802734
# Cycle: 51, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44004.132812   10155.218750
         1  -43594.578125    9968.127930
         2  -43918.167969   10294.435547
         3  -43965.367188   12932.658203
         4  -43978.687500   10057.121094
# Cycle: 52, status: NCR, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44083.675781   10165.201172
         1  -44102.660156    9803.888672
         2  -44095.152344   10032.191406
         3  -44245.691406   10039.279297
         4  -43820.160156    9921.916016
         5  -43936.652344   10121.115234
         6  -43871.980469   10490.960938
         7  -43450.640625   12783.872070
         8  -44104.222656   10236.699219
# Cycle: 53, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44381.101562   10163.802734
         1  -43703.734375   12943.931641
         2  -44172.812500    9927.889648
         3  -44240.378906   10183.425781
         4  -44167.058594    9963.277344
# Cycle: 54, status: ACC, move: ('sh', 0.11000909053346462, 2, 1)
#     Time      Potential        Kinetic
         0  -44441.222656    9623.638672
         1  -43991.671875   12826.477539
         2  -44143.574219   10200.839844
         3  -44318.800781   10133.731445
# Cycle: 55, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44104.222656   10236.699219
         1  -43450.640625   12783.872070
         2  -43871.980469   10490.960938
         3  -43936.652344   10121.115234
         4  -43820.160156    9921.916016
         5  -44245.691406   10039.279297
         6  -44095.152344   10032.191406
         7  -44102.660156    9803.888672
         8  -44083.675781   10165.201172
# Cycle: 56, status: NCR, move: ('sh', 0.10900458705944432, 2, 1)
