#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
890000,1779.9999999717324,-36640.24288349385,6555.213485012187,-30085.02939848166,294.12832070518607
895000,1789.999999971496,-36860.80421895247,6513.847004043848,-30346.957214908623,292.2722326298672
900000,1799.9999999712595,-36327.489695563105,6681.9877245703165,-29645.501970992787,299.81660138058504
905000,1809.999999971023,-36225.2501610217,6391.660896906629,-29833.58926411507,286.7898185806614
910000,1819.9999999707866,-36262.04420574984,6613.71250105415,-29648.331704695687,296.75313489173675
915000,1829.99999997055,-36743.255356472764,6383.782948961389,-30359.472407511377,286.4363399937268
920000,1839.9999999703136,-36184.76094151009,6667.060893358641,-29517.700048151448,299.1468438192519
925000,1849.9999999700772,-36172.33833493889,6733.289871434473,-29439.048463504416,302.1184965576415
930000,1859.9999999698407,-36365.3346728116,6640.8081288121575,-29724.526543999444,297.96889872751984
935000,1869.9999999696042,-36647.65254160646,6552.046744136822,-30095.605797469638,293.9862310268088
940000,1879.9999999693678,-36225.97567190924,6690.93247287336,-29535.04319903588,300.21794663097546
945000,1889.9999999691313,-35765.90709282759,6747.160011769802,-29018.747081057787,302.7408410616158
950000,1899.9999999688948,-36582.36852790484,6544.174386695524,-30038.194141209315,293.6330032822824
955000,1909.9999999686584,-36949.19758138467,6587.086269090394,-30362.111312294277,295.55843255105594
960000,1919.999999968422,-36896.33320938413,6416.039880606794,-30480.293328777338,287.8836883001791
965000,1929.9999999681854,-36343.98035057417,6635.163234125734,-29708.817116448437,297.71561584078063
970000,1939.999999967949,-36446.94860753244,6642.469455186829,-29804.479152345608,298.04344140074363
975000,1949.9999999677125,-36503.40707633218,6526.335771905564,-29977.071304426616,292.8325958167019
980000,1959.999999967476,-36542.87502677983,6545.142960743084,-29997.732066036748,293.67646259275926
985000,1969.9999999672395,-36423.16629227881,6454.635995956796,-29968.530296322013,289.61547180648216
990000,1979.999999967003,-36952.49177246779,6578.539286652491,-30373.952485815294,295.1749348057415
995000,1989.9999999667666,-36608.88825727343,6786.329984245329,-29822.558273028102,304.49837317748614
