#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
775000,1549.9999999771712,-46709.66836832283,6213.786481351682,-40495.881886971154,281.3275866157805,26.719209081878336,0.9920135271923607
780000,1559.9999999769348,-46696.872274044144,6069.995972804563,-40626.87630123958,274.8175082812226,26.890486716113884,0.9856949457601639
785000,1569.9999999766983,-46913.70398508664,6137.277075047391,-40776.42691003925,277.86364290069,26.355592337761895,1.005699910114604
790000,1579.9999999764618,-46973.11316979665,6153.638071646063,-40819.475098150586,278.60438281853993,25.993686085059224,1.01970212144477
795000,1589.9999999762254,-46649.4510279785,5980.224730931145,-40669.22629704736,270.75313836771755,26.201165266033197,1.0116274057271046
800000,1599.9999999759889,-46705.188953903795,6192.299417398439,-40512.889536505354,280.35476531534374,26.329051766470908,1.0067136895092623
805000,1609.9999999757524,-46818.70613940811,6007.794980251705,-40810.91115915641,272.00137432288363,26.55867381171265,0.9980098039916038
810000,1619.999999975516,-46880.16941070894,6290.9318380964305,-40589.23757261251,284.82032282368647,26.396744440453457,1.0041320400285298
815000,1629.9999999752795,-46726.9923987271,6028.417823511671,-40698.57457521543,272.93506825345133,26.410543176863552,1.0036074104043493
820000,1639.999999975043,-46586.73522347107,6234.13763747998,-40352.59758599109,282.2489799812586,26.263977619323207,1.00920801979374
825000,1649.9999999748065,-46551.52551073069,6296.776937828356,-40254.74857290233,285.0849582124379,26.517140662656914,0.9995729623454999
830000,1659.99999997457,-46715.543290292204,6005.219945096465,-40710.323345195735,271.88479026775906,26.164985471892464,1.0130262397270564
835000,1669.9999999743336,-46703.13181776402,6136.7451526722325,-40566.38666509179,277.83956025180606,26.326673409840314,1.0068046362134386
840000,1679.9999999740971,-46620.778719404654,6133.349624771995,-40487.42909463266,277.68582859843707,26.698038193918993,0.9928001695323633
845000,1689.9999999738607,-46823.23978548229,6176.105977168721,-40647.13380831357,279.6216114690529,26.3308945852195,1.006643232698329
850000,1699.9999999736242,-46686.97626597568,5974.580663465733,-40712.39560250995,270.4976046631871,26.248704473791022,1.009795240430627
855000,1709.9999999733877,-46846.013205642696,6287.978198362111,-40558.03500728059,284.6865975435079,25.982163253951647,1.0201543491985023
860000,1719.9999999731513,-46648.7068322752,6032.613156682131,-40616.093675593074,273.12501088495907,26.673236447435198,0.9937233112801725
865000,1729.9999999729148,-46866.678174117755,6093.215729604211,-40773.46244451354,275.86877680514993,26.331676371929056,1.0066133454898782
870000,1739.9999999726783,-46736.385991609364,6295.445738023025,-40440.94025358634,285.02468848323804,25.967558988076874,1.0207280883534164
875000,1749.9999999724419,-46835.44106481498,5985.321154534359,-40850.11991028062,270.98387763707717,26.604958499758663,0.9962735647696923
880000,1759.9999999722054,-46712.02978561743,6002.507637038409,-40709.522148579024,271.76199121722493,26.40149382373988,1.00395140600986
885000,1769.999999971969,-46819.99328067474,6070.328208520032,-40749.665072154705,274.8325501678887,26.776095777847917,0.9899059618330454
890000,1779.9999999717324,-46757.70488330937,6063.738362037406,-40693.96652127197,274.5341965613254,26.423596810457845,1.0031116140333287
895000,1789.999999971496,-46665.75913023885,6071.922575274805,-40593.836554964044,274.90473471311685,25.97773261224723,1.020328341997334
900000,1799.9999999712595,-46656.057948259404,6079.598342216997,-40576.45960604241,275.25225308951303,26.775043519649817,0.9899448650999222
905000,1809.999999971023,-46912.663630745665,6113.122645552608,-40799.54098519306,276.7700573106087,26.15485730946737,1.0134185222838084
910000,1819.9999999707866,-46860.44261542527,6095.915172740547,-40764.527442684725,275.9909933996581,26.9811478450002,0.9823828473634048
915000,1829.99999997055,-46589.52897060185,6312.13068407155,-40277.398286530304,285.7800951292071,26.6322854348442,0.9952513054108962
920000,1839.9999999703136,-46879.04092473915,6048.924745354136,-40830.11617938502,273.863513871622,26.31020017906024,1.0074350124557294
925000,1849.9999999700772,-47167.72746982542,6166.058657991685,-41001.66881183373,279.166721674478,26.59309445253777,0.9967180349173258
930000,1859.9999999698407,-46648.58855468442,5951.7336388675485,-40696.854915816875,269.4632114939257,26.369222164318195,1.005180080016578
935000,1869.9999999696042,-46961.176387289306,6250.050775332634,-40711.125611956675,282.9694432094379,27.03872865855902,0.9802907962062766
940000,1879.9999999693678,-46921.75944298715,6239.981531101239,-40681.77791188592,282.51356076365954,26.360173356793553,1.0055251339336582
945000,1889.9999999691313,-46587.93951964419,6173.184765816655,-40414.75475382754,279.48935437554996,26.304266617952987,1.0076622636957966
950000,1899.9999999688948,-46558.74970802356,5884.960705610905,-40673.789002412654,266.4400840947587,26.065907402917425,1.0168768128953618
955000,1909.9999999686584,-47133.25374542718,6185.714357849922,-40947.53938757726,280.0566284359924,26.511436456722855,0.999788030662626
960000,1919.999999968422,-46529.55653472501,6063.682686031714,-40465.87384869329,274.53167584447095,26.81313565582425,0.9885384978965258
965000,1929.9999999681854,-46767.96620311064,6016.428126401446,-40751.5380767092,272.39223779695004,26.881644533511942,0.9860191705184134
970000,1939.999999967949,-46639.35634800437,6191.361348718876,-40447.99499928549,280.31229449686725,26.220240923566983,1.0108914301119416
975000,1949.9999999677125,-46596.98339794006,6206.039533305324,-40390.94386463473,280.97684553317964,26.33220015059567,1.0065933227575246
980000,1959.999999967476,-46469.47011248354,6285.7580240073685,-40183.712088476175,284.58607971996173,26.432156174021973,1.0027867825309957
985000,1969.9999999672395,-46880.77715480962,5994.602215247182,-40886.174939562436,271.40407527653724,26.812830035587563,0.9885497655385205
990000,1979.999999967003,-46402.37532258179,6199.516693240221,-40202.85862934157,280.68152562495567,26.945924032887763,0.9836670218751333
995000,1989.9999999667666,-46508.21925967123,6275.434085109486,-40232.78517456174,284.1186660385894,27.222477892405745,0.9736739230670333
1000000,1999.9999999665301,-46743.11177225754,6277.589849112852,-40465.52192314469,284.21626770002405,26.432225917621402,1.0027841365956933
1005000,2009.9999999662937,-46783.19360098761,6037.103340126334,-40746.090260861274,273.3283027868631,26.593943208244024,0.9966862242861216
1010000,2019.9999999660572,-46647.55208850192,6222.322640196224,-40425.2294483057,281.7140590145201,26.111886581921333,1.0150862428858625
1015000,2029.9999999658207,-46906.48148036399,6312.243951508566,-40594.237528855425,285.7852232833195,26.116544758752298,1.0149051909411384
1020000,2039.9999999655843,-46684.29373959848,5895.030896733299,-40789.26284286518,266.8960094107838,26.388904572647434,1.0044303571652624
1025000,2049.999999965348,-46731.52502178238,6142.131685172391,-40589.39333660999,278.08343412694563,26.36221683151492,1.005447190367454
1030000,2059.9999999651113,-46730.71762435755,6056.01038302091,-40674.70724133664,274.18431429667845,26.121663705929052,1.0147063044490556
1035000,2069.999999964875,-46813.15947011707,6117.591704543291,-40695.56776557378,276.97239280830655,26.51372022999243,0.9997019133935342
1040000,2079.9999999646384,-46651.19208638038,6259.750945837137,-40391.44114054325,283.40861593704665,26.41195690195799,1.003553691363904
1045000,2089.999999964402,-46694.52364632953,6283.424991453301,-40411.09865487623,284.48045227043457,26.44634884966795,1.0022486278077318
1050000,2099.9999999641655,-46590.19763959781,6210.850287850179,-40379.34735174764,281.19465120931073,26.24192990213288,1.0100559274396186
1055000,2109.999999963929,-46799.12048893084,6128.789553565414,-40670.330935365426,277.47937254604557,26.40240519084205,1.0039167512775733
1060000,2119.9999999636925,-46572.16374708142,6112.749739725612,-40459.41400735581,276.7531740950913,26.512814803627034,0.9997360537319563
1065000,2129.999999963456,-47150.36345650244,6065.617177781208,-41084.746278721235,274.6192594614566,26.503052001697647,1.0001043216987409
1070000,2139.9999999632196,-46667.28390717378,6128.676011609061,-40538.607895564724,277.4742319631407,26.329919005467655,1.0066805309807487
1075000,2149.999999962983,-46714.15478171781,6179.165859061681,-40534.98892265613,279.7601468356702,26.80806542351849,0.9887254610267758
1080000,2159.9999999627466,-46688.23983709689,6051.579581143642,-40636.66025595325,273.98371087996213,27.024479706136088,0.9808076652475186
1085000,2169.99999996251,-47154.888509928016,6088.1901626798735,-41066.698347248144,275.64124555372325,25.967913025974806,1.0207141720858135
