# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time      Potential        Kinetic
         1  -44578.425781    9683.611328
         2  -44101.589844   10204.323242
         3  -44191.953125   10148.611328
         4  -44328.312500   10374.681641
         5  -44305.707031   10239.090820
         6  -44384.175781    9825.306641
         7  -44383.152344   10121.890625
# Cycle: 28, status: ACC, move: ('sh', 0.11080613701415627, 2, 1)
#     Time      Potential        Kinetic
         0  -44090.503906   10130.635742
         1  -44208.625000   12921.491211
         2  -44618.640625    9974.869141
         3  -44333.109375    9957.023438
         4  -44176.582031   10292.807617
         5  -44105.582031   10243.679688
         6  -44416.539062    9942.987305
         7  -44491.085938   10175.816406
# Cycle: 29, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44056.324219    9742.396484
         1  -44132.242188   10081.052734
         2  -44071.160156    9945.117188
         3  -43760.003906   10361.608398
         4  -43995.003906   10137.491211
         5  -43712.597656   12700.714844
         6  -43946.355469   10270.033203
         7  -43756.507812   10219.398438
# Cycle: 30, status: ACC, move: ('s-', 0.11078357278947105, 8, 1)
#     Time      Potential        Kinetic
         0  -43839.507812    9751.640625
         1  -44171.824219   12863.828125
         2  -43870.031250   10585.642578
         3  -43773.722656   10174.764648
# Cycle: 31, status: KOB, move: ('sh', 0.10845275469069482, 2, 0)
#     Time      Potential        Kinetic
         0  -43712.261719   12917.570312
# Cycle: 32, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43773.722656   10174.764648
         1  -43870.031250   10585.642578
         2  -44171.824219   12863.828125
         3  -43839.507812    9751.640625
# Cycle: 33, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43839.507812    9751.640625
         1  -44171.824219   12863.828125
         2  -43870.031250   10585.642578
         3  -43773.722656   10174.764648
# Cycle: 34, status: ACC, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44056.324219    9742.396484
         1  -44132.242188   10081.052734
         2  -44071.160156    9945.117188
         3  -43760.003906   10361.608398
         4  -43995.003906   10137.491211
         5  -43712.597656   12700.714844
         6  -43946.355469   10270.033203
         7  -43756.507812   10219.398438
# Cycle: 35, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43756.507812   10219.398438
         1  -43946.355469   10270.033203
         2  -43712.597656   12700.714844
         3  -43995.003906   10137.491211
         4  -43760.003906   10361.608398
         5  -44071.160156    9945.117188
         6  -44132.242188   10081.052734
         7  -44056.324219    9742.396484
# Cycle: 36, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44491.085938   10175.816406
         1  -44416.539062    9942.987305
         2  -44105.582031   10243.679688
         3  -44176.582031   10292.807617
         4  -44333.109375    9957.023438
         5  -44618.640625    9974.869141
         6  -44208.625000   12921.491211
         7  -44090.503906   10130.635742
# Cycle: 37, status: NCR, move: ('sh', 0.10954907576059239, 1, 1)
#     Time      Potential        Kinetic
         0  -44534.296875    9675.845703
         1  -44256.503906   12930.142578
         2  -44310.886719   10179.943359
         3  -43978.597656   10024.541016
         4  -44354.421875    9943.890625
# Cycle: 38, status: BTL, move: ('sh', 0.10954907576059239, 1, 0)
#     Time      Potential        Kinetic
         0  -44256.503906   12889.321289
         1  -44318.269531    9731.334961
         2  -44289.011719   10156.154297
         3  -44519.550781    9861.089844
         4  -44148.917969    9960.650391
         5  -43470.695312    9925.250000
         6  -43818.121094   10110.767578
# Cycle: 39, status: NCR, move: ('sh', 0.10954907576059239, 1, 3)
#     Time      Potential        Kinetic
