frame,file,lambda_A,w4_A,q,na,label,prob
5,001_207_trajB.trr,1.087718978524208,8.292556405067444,0.6889285362307629,1,nonreactive,0.13
6,001_207_trajB.trr,1.095568835735321,8.042880296707153,0.9149603968708524,1,nonreactive,0.13
7,001_207_trajB.trr,1.0931524634361267,8.059104681015015,0.6666777282074879,0,nonreactive,0.13
8,001_207_trajB.trr,1.0915299504995346,8.326878845691681,0.31257275849347965,0,nonreactive,0.13
9,001_207_trajB.trr,1.1012860387563705,8.246082663536072,0.6204599749919569,0,reactive,0.75
10,001_207_trajB.trr,1.0843118280172348,8.193710446357727,0.868754359496843,2,nonreactive,0.13
0,001_208_trajF.trr,1.090366169810295,8.021387457847595,0.8736802815230642,1,nonreactive,0.13
1,001_208_trajF.trr,1.0992436110973358,8.141092956066132,-0.11733286263094622,0,nonreactive,0.13
2,001_208_trajF.trr,1.0933587700128555,8.197228014469147,0.7204979379728327,0,nonreactive,0.13
3,001_208_trajF.trr,1.0843278467655182,8.11608225107193,0.8844272691002691,0,nonreactive,0.13
0,002_1616_trajB.trr,1.1010440438985825,8.017546832561493,0.7824600338623207,0,reactive,0.75
1,002_1616_trajB.trr,1.0860331356525421,7.911116182804108,0.9140835164234454,0,nonreactive,0.13
2,002_1616_trajB.trr,1.0887742042541504,7.765316963195801,0.49316548034616103,0,nonreactive,0.13
3,002_1616_trajB.trr,1.084829866886139,8.217538893222809,0.8265214386686637,3,nonreactive,0.13
0,002_1617_trajF.trr,1.1010440438985825,8.017546832561493,0.7824600338623207,0,reactive,0.75
1,002_1617_trajF.trr,1.1000685393810272,8.148738145828247,0.4062169191313727,0,reactive,0.75
2,002_1617_trajF.trr,1.0924742370843887,8.083160519599915,0.7838334137045198,0,nonreactive,0.13
3,002_1617_trajF.trr,1.1016267538070679,8.145121932029724,0.7637478250529717,0,reactive,0.75
4,002_1617_trajF.trr,1.086864024400711,8.049851059913635,0.5101611062461653,0,nonreactive,0.13
5,002_1617_trajF.trr,1.0837122797966003,8.022705316543579,0.8716564767942798,0,nonreactive,0.13
